Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;22,00;0,00;0,00;15,00;11,00;0,00;0,00;4,40;6,60
2020-05-24;11,00;7,00;7,00;7,00;11,00;0,00;0,00;4,40;0,00
2020-05-31;19,00;4,00;4,00;15,00;7,00;0,00;6,33;0,00;19,00
2020-06-07;26,00;4,00;4,00;11,00;4,00;4,33;4,33;0,00;15,17
2020-06-14;27,00;0,00;15,00;12,00;27,00;0,00;0,00;0,00;0,00
2020-06-21;28,00;0,00;0,00;8,00;8,00;4,31;0,00;12,92;8,62
2020-06-28;20,00;0,00;4,00;27,00;20,00;4,44;0,00;0,00;15,56
2020-07-05;24,00;16,00;8,00;20,00;0,00;4,36;0,00;0,00;4,36
2020-07-12;33,00;4,00;4,00;16,00;0,00;0,00;8,80;8,80;24,20
2020-07-19;29,00;4,00;4,00;8,00;12,00;0,00;4,14;4,14;0,00
2020-07-26;21,00;4,00;4,00;8,00;4,00;8,40;0,00;16,80;16,80
2020-08-02;50,00;0,00;8,00;8,00;0,00;8,70;0,00;8,70;0,00
2020-08-09;50,00;9,00;13,00;50,00;9,00;8,70;0,00;4,35;13,04
2020-08-16;35,00;0,00;4,00;18,00;0,00;13,13;0,00;0,00;17,50
2020-08-23;16,00;12,00;12,00;8,00;12,00;4,00;4,00;0,00;72,00
2020-08-30;16,00;4,00;0,00;16,00;20,00;4,57;4,57;0,00;4,57
2020-09-06;12,00;0,00;4,00;20,00;8,00;0,00;0,00;4,00;4,00
2020-09-13;24,00;4,00;4,00;12,00;64,00;4,36;4,36;0,00;4,36
2020-09-20;15,00;8,00;4,00;8,00;4,00;4,29;4,29;10,71;4,29
2020-09-27;0,00;4,00;0,00;20,00;4,00;0,00;2,00;0,00;9,00
2020-10-04;20,00;0,00;4,00;20,00;12,00;4,44;4,44;0,00;33,33
2020-10-11;21,00;0,00;4,00;8,00;38,00;0,00;0,00;0,00;4,20
2020-10-18;0,00;0,00;4,00;8,00;16,00;0,00;0,00;2,00;2,00
2020-10-25;16,00;12,00;4,00;4,00;8,00;4,00;0,00;0,00;0,00
2020-11-01;23,00;4,00;4,00;8,00;4,00;0,00;0,00;8,36;10,45
2020-11-08;12,00;4,00;4,00;12,00;0,00;9,60;4,80;4,80;0,00
2020-11-15;50,00;4,00;0,00;12,00;8,00;4,35;0,00;4,35;8,70
2020-11-22;23,00;8,00;4,00;19,00;8,00;0,00;4,18;8,36;14,64
2020-11-29;19,00;8,00;12,00;19,00;8,00;0,00;0,00;0,00;4,22
2020-12-06;8,00;4,00;0,00;12,00;20,00;4,00;0,00;10,00;84,00
2020-12-13;4,00;0,00;4,00;48,00;20,00;0,00;0,00;4,00;4,00
2020-12-20;13,00;9,00;4,00;49,00;4,00;4,33;0,00;4,33;8,67
2020-12-27;30,00;4,00;9,00;9,00;4,00;4,29;0,00;4,29;4,29
2021-01-03;24,00;8,00;8,00;8,00;4,00;0,00;4,36;4,36;4,36
2021-01-10;20,00;4,00;0,00;8,00;8,00;0,00;0,00;4,44;13,33
2021-01-17;16,00;12,00;4,00;16,00;12,00;0,00;4,57;4,57;4,57
2021-01-24;8,00;4,00;16,00;12,00;4,00;4,00;0,00;0,00;4,00
2021-01-31;41,00;16,00;8,00;20,00;4,00;0,00;0,00;0,00;12,95
2021-02-07;12,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;88,00
2021-02-14;17,00;8,00;4,00;17,00;13,00;0,00;17,00;0,00;17,00
2021-02-21;8,00;0,00;4,00;12,00;0,00;0,00;8,00;0,00;4,00
2021-02-28;24,00;0,00;4,00;8,00;4,00;0,00;0,00;4,36;8,73
2021-03-07;19,00;4,00;4,00;8,00;8,00;0,00;4,22;0,00;8,44
2021-03-14;15,00;7,00;0,00;4,00;11,00;0,00;6,43;6,43;10,71
2021-03-21;20,00;12,00;12,00;4,00;0,00;0,00;8,89;4,44;13,33
2021-03-28;13,00;4,00;13,00;17,00;17,00;0,00;0,00;0,00;4,33
2021-04-04;26,00;4,00;17,00;4,00;9,00;0,00;4,33;0,00;0,00
2021-04-11;16,00;8,00;0,00;8,00;20,00;4,57;4,57;4,57;4,57
2021-04-18;20,00;4,00;12,00;12,00;4,00;0,00;0,00;4,44;0,00
2021-04-25;8,00;4,00;12,00;21,00;0,00;4,00;0,00;4,00;0,00
2021-05-02;25,00;4,00;0,00;4,00;8,00;0,00;0,00;4,17;8,33
2021-05-09;20,00;0,00;0,00;4,00;8,00;8,89;0,00;0,00;0,00
2021-05-16;25,00;0,00;4,00;16,00;8,00;12,50;4,17;8,33;0,00
2021-05-23;34,00;4,00;4,00;34,00;4,00;0,00;0,00;0,00;0,00
2021-05-30;30,00;4,00;4,00;26,00;4,00;0,00;4,29;0,00;0,00
2021-06-06;25,00;0,00;4,00;8,00;4,00;8,33;0,00;4,17;8,33
2021-06-13;22,00;13,00;9,00;18,00;0,00;8,80;13,20;8,80;13,20
2021-06-20;23,00;5,00;9,00;18,00;5,00;0,00;4,18;0,00;48,09
2021-06-27;18,00;23,00;14,00;32,00;9,00;0,00;0,00;0,00;0,00
2021-07-04;41,00;0,00;18,00;36,00;18,00;4,32;4,32;4,32;12,95
2021-07-11;44,00;9,00;0,00;22,00;13,00;0,00;0,00;8,80;13,20
2021-07-18;36,00;18,00;18,00;14,00;9,00;12,71;16,94;0,00;4,24
2021-07-25;31,00;31,00;22,00;22,00;27,00;0,00;0,00;4,43;8,86
2021-08-01;36,00;4,00;13,00;27,00;4,00;0,00;0,00;4,24;0,00
2021-08-08;83,00;15,00;24,00;34,00;5,00;4,26;4,26;4,26;0,00
2021-08-15;86,00;10,00;19,00;14,00;0,00;8,60;8,60;15,05;15,05
2021-08-22;42,00;19,00;5,00;32,00;23,00;8,84;0,00;4,42;8,84
2021-08-29;5,00;14,00;9,00;37,00;0,00;5,00;10,00;10,00;0,00
2021-09-05;19,00;5,00;9,00;19,00;9,00;0,00;0,00;0,00;0,00
2021-09-12;19,00;28,00;19,00;19,00;14,00;0,00;0,00;0,00;0,00
2021-09-19;9,00;14,00;9,00;42,00;9,00;4,50;0,00;15,75;20,25
2021-09-26;5,00;19,00;5,00;23,00;5,00;0,00;10,00;0,00;10,00
2021-10-03;9,00;5,00;5,00;37,00;9,00;4,50;4,50;0,00;0,00
2021-10-10;20,00;15,00;5,00;20,00;5,00;11,11;0,00;20,00;0,00
2021-10-17;24,00;24,00;19,00;24,00;5,00;0,00;0,00;15,27;0,00
2021-10-24;10,00;14,00;0,00;34,00;24,00;5,00;5,00;5,00;0,00
2021-10-31;19,00;5,00;10,00;10,00;0,00;4,22;4,22;4,22;0,00
2021-11-07;6,00;6,00;11,00;33,00;6,00;0,00;6,00;0,00;0,00
