Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;41,00;10,00;10,00;10,00;5,00;0,00;10,00;15,00;0,00
2020-05-24;41,00;5,00;5,00;10,00;0,00;0,00;5,00;0,00;5,00
2020-05-31;53,00;19,00;19,00;5,00;0,00;0,00;10,00;0,00;0,00
2020-06-07;35,00;10,00;10,00;30,00;5,00;0,00;0,00;0,00;0,00
2020-06-14;73,00;10,00;5,00;5,00;0,00;0,00;5,00;5,00;5,00
2020-06-21;39,00;0,00;6,00;11,00;0,00;6,00;0,00;6,00;0,00
2020-06-28;39,00;0,00;11,00;22,00;11,00;6,00;6,00;6,00;6,00
2020-07-05;34,00;17,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00
2020-07-12;59,00;6,00;6,00;12,00;6,00;0,00;6,00;0,00;0,00
2020-07-19;24,00;18,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00
2020-07-26;30,00;6,00;6,00;18,00;0,00;0,00;0,00;6,00;6,00
2020-08-02;61,00;12,00;6,00;12,00;0,00;0,00;12,00;18,00;6,00
2020-08-09;66,00;6,00;0,00;12,00;0,00;6,00;12,00;0,00;6,00
2020-08-16;49,00;12,00;0,00;18,00;0,00;0,00;6,00;6,00;6,00
2020-08-23;24,00;6,00;0,00;18,00;0,00;0,00;6,00;0,00;6,00
2020-08-30;29,00;12,00;12,00;29,00;6,00;0,00;12,00;0,00;12,00
2020-09-06;17,00;6,00;58,00;17,00;0,00;12,00;12,00;0,00;6,00
2020-09-13;17,00;5,00;5,00;38,00;5,00;0,00;6,00;6,00;6,00
2020-09-20;17,00;11,00;33,00;22,00;0,00;0,00;6,00;0,00;6,00
2020-09-27;11,00;11,00;0,00;6,00;0,00;0,00;11,00;11,00;17,00
2020-10-04;11,00;11,00;11,00;17,00;0,00;6,00;0,00;0,00;40,00
2020-10-11;49,00;6,00;12,00;6,00;0,00;6,00;0,00;0,00;0,00
2020-10-18;6,00;0,00;12,00;12,00;0,00;0,00;0,00;6,00;0,00
2020-10-25;18,00;0,00;18,00;12,00;0,00;0,00;0,00;12,00;6,00
2020-11-01;45,00;0,00;0,00;17,00;0,00;0,00;0,00;11,00;0,00
2020-11-08;23,00;12,00;0,00;17,00;6,00;0,00;6,00;12,00;6,00
2020-11-15;29,00;12,00;12,00;17,00;6,00;0,00;12,00;6,00;6,00
2020-11-22;17,00;6,00;6,00;17,00;17,00;0,00;17,00;11,00;6,00
2020-11-29;29,00;6,00;6,00;12,00;0,00;0,00;12,00;6,00;6,00
2020-12-06;18,00;29,00;18,00;12,00;0,00;6,00;12,00;0,00;0,00
2020-12-13;23,00;0,00;6,00;6,00;0,00;0,00;6,00;12,00;12,00
2020-12-20;13,00;13,00;0,00;19,00;0,00;0,00;6,00;6,00;0,00
2020-12-27;25,00;13,00;25,00;25,00;6,00;0,00;0,00;6,00;0,00
2021-01-03;29,00;6,00;17,00;29,00;6,00;6,00;0,00;0,00;0,00
2021-01-10;12,00;6,00;0,00;24,00;0,00;0,00;0,00;0,00;6,00
2021-01-17;6,00;23,00;0,00;23,00;0,00;0,00;6,00;6,00;11,00
2021-01-24;17,00;0,00;17,00;6,00;0,00;6,00;6,00;6,00;6,00
2021-01-31;29,00;6,00;6,00;11,00;11,00;0,00;0,00;0,00;11,00
2021-02-07;6,00;6,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;24,00;6,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;24,00;12,00;6,00;18,00;18,00;0,00;0,00;0,00;0,00
2021-02-28;41,00;0,00;12,00;29,00;0,00;0,00;6,00;0,00;6,00
2021-03-07;48,00;0,00;12,00;18,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;17,00;6,00;17,00;17,00;0,00;0,00;6,00;0,00;0,00
2021-03-21;31,00;0,00;13,00;38,00;0,00;6,00;0,00;6,00;6,00
2021-03-28;26,00;7,00;20,00;20,00;0,00;0,00;0,00;0,00;13,00
2021-04-04;36,00;12,00;6,00;18,00;0,00;0,00;24,00;6,00;0,00
2021-04-11;12,00;12,00;0,00;12,00;0,00;0,00;0,00;6,00;0,00
2021-04-18;24,00;12,00;12,00;30,00;0,00;0,00;12,00;0,00;0,00
2021-04-25;0,00;6,00;17,00;17,00;0,00;0,00;6,00;0,00;6,00
2021-05-02;6,00;0,00;6,00;18,00;0,00;0,00;6,00;0,00;0,00
2021-05-09;12,00;6,00;12,00;6,00;0,00;0,00;6,00;12,00;0,00
2021-05-16;30,00;6,00;6,00;18,00;12,00;0,00;0,00;6,00;0,00
2021-05-23;24,00;12,00;12,00;18,00;0,00;0,00;0,00;6,00;0,00
2021-05-30;30,00;18,00;12,00;6,00;6,00;12,00;0,00;6,00;6,00
2021-06-06;18,00;6,00;12,00;24,00;6,00;0,00;0,00;0,00;6,00
2021-06-13;12,00;0,00;6,00;6,00;6,00;18,00;12,00;0,00;6,00
2021-06-20;64,00;0,00;13,00;13,00;0,00;0,00;6,00;6,00;6,00
2021-06-27;26,00;26,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;19,00;6,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00
2021-07-11;33,00;33,00;7,00;33,00;0,00;0,00;7,00;0,00;0,00
2021-07-18;20,00;13,00;20,00;13,00;0,00;0,00;0,00;0,00;20,00
2021-07-25;65,00;6,00;13,00;26,00;0,00;0,00;0,00;0,00;13,00
2021-08-01;46,00;0,00;33,00;26,00;0,00;0,00;13,00;0,00;0,00
2021-08-08;75,00;21,00;14,00;21,00;0,00;7,00;7,00;7,00;0,00
2021-08-15;100,00;20,00;0,00;20,00;0,00;0,00;13,00;7,00;7,00
2021-08-22;56,00;21,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-29;14,00;0,00;20,00;27,00;0,00;0,00;7,00;14,00;7,00
2021-09-05;22,00;0,00;14,00;7,00;0,00;0,00;7,00;0,00;14,00
2021-09-12;20,00;14,00;20,00;14,00;0,00;0,00;0,00;7,00;0,00
2021-09-19;33,00;0,00;0,00;13,00;0,00;0,00;7,00;13,00;0,00
2021-09-26;47,00;13,00;27,00;20,00;7,00;0,00;14,00;0,00;0,00
2021-10-03;76,00;7,00;14,00;14,00;0,00;0,00;0,00;0,00;7,00
2021-10-10;7,00;7,00;7,00;22,00;0,00;0,00;15,00;15,00;7,00
2021-10-17;14,00;21,00;14,00;21,00;0,00;0,00;0,00;0,00;7,00
2021-10-24;7,00;20,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00
2021-10-31;35,00;14,00;21,00;14,00;0,00;0,00;7,00;0,00;0,00
2021-11-07;33,00;8,00;16,00;0,00;0,00;0,00;8,00;8,00;0,00
