Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-08-18;66,00;95,00;19,00;24,00;24,00;24,00;0,00;5,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-08-25;45,00;72,00;36,00;13,00;27,00;27,00;4,00;4,00;4,00;9,00;4,00;4,00;9,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00
2019-09-01;52,00;13,00;17,00;17,00;22,00;13,00;0,00;4,00;0,00;9,00;0,00;9,00;9,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-09-08;80,00;18,00;13,00;36,00;9,00;18,00;9,00;0,00;9,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-09-15;44,00;4,00;4,00;4,00;0,00;9,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;33,00;8,00;13,00;12,00;8,00;4,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;17,00;4,00;4,00;4,00;12,00;4,00;12,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;33,00;21,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;25,00;17,00;4,00;12,00;12,00;0,00;4,00;8,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00
2019-10-20;42,00;4,00;17,00;29,00;8,00;4,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-10-27;52,00;13,00;22,00;13,00;4,00;4,00;0,00;9,00;9,00;0,00;13,00;0,00;0,00;9,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-11-03;29,00;8,00;8,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-10;25,00;8,00;0,00;4,00;4,00;21,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-11-17;21,00;12,00;0,00;4,00;8,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;8,00;0,00;4,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-12-01;29,00;21,00;0,00;20,00;8,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;20,00;12,00;4,00;8,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;48,00;8,00;12,00;8,00;4,00;8,00;4,00;8,00;0,00;4,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;53,00;18,00;9,00;18,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;43,00;13,00;13,00;26,00;4,00;4,00;0,00;13,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;39,00;12,00;12,00;8,00;8,00;12,00;12,00;8,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-12;30,00;27,00;27,00;0,00;4,00;15,00;8,00;4,00;0,00;4,00;11,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;24,00;8,00;24,00;20,00;28,00;0,00;12,00;8,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2020-01-26;20,00;20,00;24,00;4,00;8,00;8,00;0,00;8,00;4,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;40,00;12,00;12,00;16,00;8,00;8,00;16,00;0,00;8,00;8,00;12,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;46,00;4,00;11,00;15,00;23,00;11,00;11,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;65,00;8,00;12,00;8,00;15,00;4,00;8,00;11,00;12,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;23,00;12,00;4,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;34,00;15,00;8,00;19,00;4,00;8,00;11,00;4,00;4,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;97,00;4,00;4,00;7,00;7,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-03-15;18,00;4,00;0,00;4,00;7,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;7,00;4,00;11,00;4,00;18,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;7,00;4,00;4,00;14,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;4,00;4,00;4,00;11,00;4,00;11,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;7,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;7,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;3,00;3,00;7,00;7,00;10,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-05-10;7,00;7,00;14,00;0,00;14,00;3,00;3,00;0,00;3,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-05-17;15,00;4,00;4,00;4,00;11,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;28,00;0,00;7,00;0,00;0,00;11,00;4,00;4,00;0,00;0,00;0,00;11,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00
2020-05-31;30,00;14,00;17,00;7,00;7,00;10,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00
2020-06-07;47,00;20,00;17,00;10,00;13,00;17,00;7,00;20,00;7,00;3,00;3,00;3,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;38,00;24,00;17,00;17,00;17,00;31,00;0,00;14,00;0,00;3,00;7,00;14,00;7,00;7,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2020-06-21;36,00;29,00;22,00;18,00;40,00;22,00;7,00;18,00;11,00;15,00;0,00;18,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-06-28;54,00;11,00;50,00;39,00;25,00;14,00;11,00;14,00;7,00;14,00;14,00;11,00;14,00;11,00;0,00;4,00;7,00;0,00;0,00;7,00;4,00
2020-07-05;49,00;41,00;64,00;30,00;23,00;26,00;26,00;11,00;11,00;15,00;11,00;11,00;15,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00
2020-07-12;88,00;24,00;48,00;16,00;24,00;32,00;16,00;16,00;0,00;8,00;12,00;0,00;12,00;12,00;4,00;4,00;4,00;0,00;4,00;8,00;0,00
2020-07-19;55,00;34,00;34,00;46,00;34,00;38,00;13,00;17,00;8,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-07-26;56,00;48,00;20,00;40,00;16,00;16,00;8,00;12,00;0,00;12,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;31,00;20,00;24,00;31,00;27,00;20,00;23,00;12,00;12,00;12,00;0,00;4,00;8,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00
2020-08-09;37,00;26,00;37,00;15,00;26,00;11,00;7,00;4,00;11,00;4,00;4,00;7,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00
2020-08-16;41,00;30,00;38,00;22,00;60,00;22,00;7,00;0,00;4,00;8,00;0,00;11,00;11,00;0,00;8,00;0,00;4,00;4,00;4,00;8,00;0,00
2020-08-23;41,00;37,00;45,00;26,00;48,00;37,00;7,00;0,00;4,00;4,00;4,00;4,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-08-30;37,00;19,00;41,00;11,00;0,00;11,00;7,00;4,00;7,00;11,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-09-06;27,00;27,00;89,00;8,00;15,00;12,00;8,00;0,00;0,00;15,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;23,00;16,00;31,00;4,00;15,00;4,00;0,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;11,00;8,00;11,00;22,00;4,00;7,00;7,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;19,00;4,00;19,00;4,00;4,00;11,00;0,00;8,00;11,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;38,00;0,00;4,00;11,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-10-11;12,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;0,00;4,00;12,00;28,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;23,00;0,00;8,00;8,00;8,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;7,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;4,00;8,00;12,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;0,00;7,00;4,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-11-22;7,00;7,00;4,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;4,00;7,00;0,00;0,00;11,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-06;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;8,00;4,00;0,00;12,00;8,00;0,00;4,00;12,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-20;25,00;0,00;8,00;4,00;4,00;4,00;4,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-27;20,00;12,00;8,00;0,00;8,00;20,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;19,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;8,00;4,00;0,00;15,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;7,00;0,00;0,00;0,00;4,00;15,00;0,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-01-24;8,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;8,00;0,00;8,00;0,00;8,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;11,00;4,00;4,00;8,00;4,00;11,00;0,00;8,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2021-02-14;12,00;0,00;8,00;8,00;4,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;12,00;0,00;4,00;12,00;8,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
