Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-28;16,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;8,00;8,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;17,00;0,00;4,25;4,25;4,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;25,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;0,00;0,00;0,00;9,19;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;13,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;13,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;55,00;0,00;0,00;8,15;4,07;0,00;0,00;8,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;38,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;13,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;17,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;59,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;72,00;0,00;0,00;0,00;4,06;0,00;0,00;0,00;0,00;5,00;0,00;9,00;0,00;5,00;14,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;62,00;0,00;4,07;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;22,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;62,00;0,00;0,00;0,00;17,28;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;13,00;4,00;35,00;4,00;9,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;71,00;0,00;0,00;0,00;5,07;0,00;5,00;5,00;0,00;5,00;0,00;24,00;0,00;0,00;5,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;98,00;5,10;10,21;0,00;20,42;0,00;0,00;0,00;5,00;0,00;0,00;15,00;0,00;0,00;5,00;5,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;10,00;10,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;83,00;0,00;10,12;5,06;5,06;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;16,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;91,00;5,11;0,00;0,00;19,43;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;24,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;61,00;4,07;9,15;0,00;9,15;0,00;9,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;9,00;9,00;4,00;9,00;0,00;9,00;4,00;0,00;4,00;17,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;71,00;4,00;0,00;0,00;12,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-08-25;46,00;0,00;8,00;0,00;12,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
