Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-05-19;63,00;12,00;12,00;4,00;63,00;145,38;55,73;12,60;63,00;56,70;12,60;16,00;4,00;4,00;0,00;39,00;20,00;47,00;8,00;0,00;4,40;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;39,00;8,00;20,00;8,00;59,00;187,69;36,56;19,50;84,50;91,00;6,50;0,00;0,00;8,00;0,00;31,00;12,00;35,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;58,00;19,00;23,00;8,00;39,00;234,42;50,75;6,44;70,89;83,78;0,00;8,00;12,00;12,00;0,00;31,00;12,00;51,00;0,00;0,00;7,44;0,00;8,00;0,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;58,00;4,00;38,00;4,00;50,00;229,58;33,83;12,89;51,56;90,22;6,44;4,00;12,00;19,00;0,00;92,00;12,00;38,00;4,00;0,00;4,46;7,44;4,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-06-16;24,00;24,00;20,00;8,00;61,00;240,00;48,00;12,00;78,00;84,00;6,00;16,00;4,00;12,00;4,00;20,00;28,00;36,00;0,00;0,00;4,50;0,00;4,00;4,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-06-23;50,00;0,00;21,00;8,00;83,00;173,81;33,33;18,75;62,50;143,75;0,00;12,00;12,00;0,00;4,00;33,00;25,00;54,00;12,00;0,00;0,00;8,82;0,00;4,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-06-30;75,00;21,00;25,00;4,00;62,00;234,68;67,74;18,75;50,00;131,25;12,50;25,00;17,00;21,00;0,00;17,00;0,00;29,00;8,00;0,00;4,50;0,00;8,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-07-07;67,00;8,00;12,00;8,00;91,00;193,82;43,07;13,40;67,00;93,80;13,40;8,00;28,00;24,00;4,00;12,00;8,00;36,00;4,00;4,37;11,65;0,00;4,00;4,00;0,00;4,00;8,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;100,00;4,00;17,00;8,00;63,00;178,57;57,14;6,67;80,00;186,67;6,67;12,00;25,00;8,00;0,00;62,00;12,00;54,00;8,00;0,00;11,94;4,48;13,00;0,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;37,00;12,00;29,00;12,00;87,00;212,75;71,69;18,50;61,67;203,50;18,50;17,00;12,00;17,00;0,00;25,00;0,00;46,00;8,00;0,00;11,84;4,44;0,00;0,00;0,00;8,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
