Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;5,00;0,00;12,00;0,50;0,00
2021-04-04;7,00;1,00;10,00;1,00;0,50
2021-04-11;2,00;1,00;5,00;1,00;0,00
2021-04-18;2,00;1,00;7,00;0,50;0,00
2021-04-25;2,00;0,50;8,00;0,00;0,00
2021-05-02;1,00;0,00;10,00;0,00;0,00
2021-05-09;7,00;1,00;6,00;0,00;1,00
2021-05-16;3,00;0,50;8,00;0,00;0,00
2021-05-23;4,00;1,00;5,00;0,00;1,00
2021-05-30;3,00;1,00;7,00;0,00;0,00
2021-06-06;1,00;1,00;5,00;0,50;0,00
2021-06-13;4,00;0,00;8,00;0,50;1,00
2021-06-20;3,00;1,00;7,00;1,00;0,00
2021-06-27;3,00;1,00;9,00;0,00;0,00
2021-07-04;2,00;1,00;7,00;0,00;0,00
2021-07-11;3,00;1,00;8,00;0,50;0,00
2021-07-18;5,00;0,00;11,00;0,00;1,00
2021-07-25;7,00;0,50;38,00;0,00;1,00
2021-08-01;4,00;0,50;11,00;0,50;0,50
2021-08-08;4,00;0,50;5,00;0,50;1,00
2021-08-15;4,00;2,00;8,00;0,00;0,00
2021-08-22;4,00;1,00;9,00;0,00;0,00
2021-08-29;7,00;1,00;5,00;1,00;1,00
2021-09-05;4,00;2,00;6,00;1,00;1,00
2021-09-12;3,00;1,00;10,00;2,00;1,00
2021-09-19;5,00;2,00;7,00;0,00;1,00
2021-09-26;1,00;1,00;4,00;1,00;1,00
2021-10-03;2,00;1,00;7,00;0,00;0,00
2021-10-10;2,00;3,00;13,00;1,00;1,00
2021-10-17;2,00;2,00;6,00;1,00;2,00
2021-10-24;3,00;1,00;9,00;0,00;1,00
2021-10-31;3,00;1,00;12,00;1,00;1,00
2021-11-07;1,00;1,00;15,00;0,00;0,00
