Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-28;36,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;5,00;4,80;0,00;52,80;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,67;23,33;0,00;0,00;5,00;10,00;0,00;0,00;77,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;24,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;24,00;0,00;0,00;5,00;0,00;4,80;0,00;36,00;4,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;10,00;0,00;15,00;15,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;6,67;10,00;0,00;5,00;0,00;0,00;0,00;0,00;42,50;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;9,00;0,00;9,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;9,00;24,00;0,00;0,00;5,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;20,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,29;0,00;0,00;0,00;5,00;4,44;0,00;53,33;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;7,50;30,00;0,00;0,00;5,00;0,00;0,00;0,00;60,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;41,00;0,00;5,00;15,00;15,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;35,14;5,00;0,00;0,00;0,00;0,00;0,00;70,61;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;17,50;0,00;0,00;10,00;0,00;10,00;0,00;46,00;4,00;0,00;16,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-06-30;47,00;0,00;5,00;10,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;14,69;41,13;5,00;0,00;5,00;10,00;0,00;0,00;63,45;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;45,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;42,00;5,00;5,00;15,00;25,00;0,00;0,00;85,26;4,74;0,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;20,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;41,00;5,00;5,00;26,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;5,86;61,50;10,00;0,00;16,00;5,00;0,00;0,00;123,00;9,11;10,00;10,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-07-21;37,00;26,00;21,00;21,00;0,00;16,00;0,00;10,00;0,00;0,00;0,00;15,42;308,33;5,00;0,00;0,00;21,00;0,00;0,00;83,25;4,63;0,00;5,00;0,00;10,00;5,00;10,00;0,00;21,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;21,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;60,00;0,00;0,00;16,00;16,00;4,67;0,00;107,33;4,67;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;21,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;66,00;6,00;0,00;11,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,74;54,52;0,00;0,00;6,00;6,00;0,00;0,00;91,03;0,00;0,00;0,00;6,00;0,00;5,00;0,00;11,00;0,00;0,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;58,00;0,00;0,00;17,00;6,00;0,00;0,00;17,00;0,00;0,00;0,00;11,60;17,40;0,00;0,00;6,00;6,00;11,60;0,00;139,20;4,64;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;54,00;0,00;5,00;22,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;45,00;11,00;0,00;11,00;11,00;0,00;4,70;119,74;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;40,00;0,00;5,00;10,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;8,57;22,86;0,00;0,00;10,00;0,00;4,71;0,00;75,29;4,71;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;51,00;5,00;5,00;9,00;0,00;0,00;9,00;5,00;0,00;6,00;0,00;0,00;24,00;5,00;0,00;9,00;5,00;4,64;0,00;46,36;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;63,00;5,00;14,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;9,00;0,00;0,00;5,00;5,00;0,00;4,67;58,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;24,00;5,00;9,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;6,00;0,00;39,00;0,00;0,00;9,00;9,00;4,80;0,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;47,00;5,00;5,00;9,00;19,00;0,00;0,00;5,00;0,00;5,88;0,00;5,88;29,38;0,00;0,00;5,00;9,00;0,00;0,00;79,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;47,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;14,69;23,50;5,00;0,00;0,00;5,00;0,00;0,00;72,85;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;48,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;15,00;0,00;5,00;0,00;10,00;13,71;0,00;43,43;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;14,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;9,00;5,00;5,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;6,00;24,00;0,00;0,00;5,00;5,00;4,50;0,00;69,75;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;32,00;0,00;18,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;23,27;0,00;5,00;0,00;5,00;0,00;0,00;50,29;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;5,00;9,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00
2019-10-27;52,00;0,00;0,00;19,00;0,00;0,00;0,00;5,00;0,00;0,00;8,67;0,00;28,89;0,00;0,00;5,00;14,00;4,73;0,00;47,27;0,00;0,00;5,00;0,00;0,00;5,00;0,00;9,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;27,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;5,00;0,00;0,00;54,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;19,00;9,00;5,00;5,00;9,00;0,00;5,00;9,00;0,00;0,00;0,00;9,50;9,50;0,00;0,00;9,00;9,00;0,00;0,00;85,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;9,00;9,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;14,00;0,00;4,50;0,00;92,25;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;42,00;5,00;9,00;9,00;5,00;0,00;0,00;9,00;0,00;0,00;0,00;18,00;33,00;0,00;5,00;5,00;0,00;0,00;0,00;70,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;52,00;0,00;0,00;5,00;19,00;0,00;0,00;9,00;0,00;0,00;0,00;5,78;40,44;0,00;0,00;24,00;0,00;4,73;0,00;106,36;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;77,00;10,00;0,00;14,00;5,00;0,00;0,00;0,00;5,00;0,00;5,92;8,88;32,58;0,00;10,00;10,00;0,00;4,67;0,00;100,33;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
