Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;6,00;3,00;9,00;0,00;2,00
2021-04-04;6,00;3,00;7,00;1,00;1,00
2021-04-11;14,00;4,00;1,00;3,00;1,00
2021-04-18;6,00;0,00;9,00;3,00;1,00
2021-04-25;10,00;1,00;13,00;1,00;0,00
2021-05-02;6,00;0,00;7,00;0,00;3,00
2021-05-09;6,00;0,00;9,00;0,00;0,00
2021-05-16;4,00;4,00;4,00;0,00;0,00
2021-05-23;9,00;0,00;6,00;0,00;0,00
2021-05-30;6,00;0,00;6,00;2,00;0,00
2021-06-06;19,00;3,00;1,00;0,00;0,00
2021-06-13;20,00;2,00;6,00;0,00;0,00
2021-06-20;9,00;3,00;5,00;0,00;0,00
2021-06-27;5,00;0,00;6,00;2,00;0,00
2021-07-04;12,00;0,00;12,00;0,00;2,00
2021-07-11;21,00;3,00;3,00;2,00;2,00
2021-07-18;8,00;2,00;5,00;7,00;3,00
2021-07-25;8,00;2,00;29,00;0,00;2,00
2021-08-01;15,00;0,00;8,00;2,00;3,00
2021-08-08;17,00;3,00;7,00;0,00;2,00
2021-08-15;23,00;0,00;10,00;3,00;2,00
2021-08-22;28,00;2,00;2,00;0,00;0,00
2021-08-29;5,00;0,00;3,00;0,00;0,00
2021-09-05;12,00;3,00;12,00;3,00;0,00
2021-09-12;5,00;0,00;8,00;0,00;2,00
2021-09-19;12,00;0,00;7,00;3,00;0,00
2021-09-26;0,00;2,00;7,00;0,00;0,00
2021-10-03;10,00;2,00;10,00;0,00;2,00
2021-10-10;9,00;5,00;7,00;3,00;2,00
2021-10-17;12,00;0,00;8,00;0,00;0,00
2021-10-24;14,00;2,00;10,00;0,00;3,00
2021-10-31;20,00;0,00;5,00;2,00;3,00
2021-11-07;2,00;2,00;10,00;0,00;0,00
