Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-21;23,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;38,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00
2019-04-28;15,00;0,00;8,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;8,00;30,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,88;0,00;0,00;0,00;0,00
2019-05-05;15,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;37,00;0,00;7,00;7,00;0,00;7,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;8,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;7,05;14,10;0,00;0,00;0,00;0,00
2019-05-19;45,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;15,00;0,00;0,00;15,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;29,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;22,00;0,00;7,00;15,00;7,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00
2019-06-02;15,00;0,00;29,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;7,00;0,00;29,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;36,00;0,00;7,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;7,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,20;0,00;0,00;0,00;0,00
2019-06-16;46,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;23,00;8,00;8,00;15,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,08;0,00;0,00;0,00;0,00
2019-06-23;24,00;0,00;8,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;8,00;31,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,62;0,00;0,00;0,00;0,00
2019-06-30;16,00;0,00;8,00;23,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;23,00;0,00;0,00;16,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,11;7,11;0,00;16,00;0,00
2019-07-07;45,00;7,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;7,00;30,00;15,00;0,00;7,00;0,00;0,00;0,00;22,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,40;0,00;0,00;0,00;0,00
2019-07-14;71,00;16,00;16,00;8,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;16,00;16,00;16,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;7,10;7,10;0,00;0,00;0,00;0,00
2019-07-21;47,00;31,00;39,00;23,00;8,00;39,00;0,00;16,00;0,00;0,00;0,00;16,00;39,00;8,00;0,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;16,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,23;0,00;0,00;0,00;0,00
2019-07-28;89,00;24,00;32,00;16,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;8,00;32,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,92;0,00;0,00;0,00;0,00
2019-08-04;66,00;0,00;8,00;0,00;0,00;8,00;8,00;8,00;8,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;8,00;0,00;0,00;33,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;8,92;8,92;0,00;0,00;0,00
